DateTime,City,State,Country,location
2021-09-02 21:00:00,Athens,GA,USA,"Athens,GA,USA"
2021-09-02 20:00:00,Nashville,TN,USA,"Nashville,TN,USA"
2021-09-02 19:40:00,San Diego,CA,USA,"San Diego,CA,USA"
2021-09-02 19:30:00,Lebanon,NH,USA,"Lebanon,NH,USA"
2021-09-02 18:35:00,San Jose,,USA,"San Jose,USA"
2021-09-02 14:15:00,In flight,KY,USA,"In flight,KY,USA"
2021-09-02 05:35:00,Gilbert,AZ,USA,"Gilbert,AZ,USA"
2021-09-01 21:35:00,Eau Claire,WI,USA,"Eau Claire,WI,USA"
2021-09-01 21:30:00,Newington,CT,USA,"Newington,CT,USA"
2021-09-01 19:50:00,Madison,LA,USA,"Madison,LA,USA"
2021-09-01 19:00:00,Madison,,USA,"Madison,USA"
2021-09-01 18:52:00,Hodgkins,IL,USA,"Hodgkins,IL,USA"
2021-09-01 12:10:00,Salem,OR,USA,"Salem,OR,USA"
2021-09-01 05:53:00,Eads,TN,USA,"Eads,TN,USA"
2021-09-01 05:16:00,Jonesboro,AR,USA,"Jonesboro,AR,USA"
2021-08-31 00:00:00,Pepperell,MA,USA,"Pepperell,MA,USA"
2021-08-31 23:00:00,Houston,TX,USA,"Houston,TX,USA"
2021-08-31 20:35:00,Spokane,WA,USA,"Spokane,WA,USA"
2021-08-31 17:51:00,Franklin,KY,USA,"Franklin,KY,USA"
2021-08-31 12:45:00,Unionvale,NY,USA,"Unionvale,NY,USA"
2021-08-31 09:38:00,Pine City,NY,USA,"Pine City,NY,USA"
2021-08-30 22:30:00,Clarksville,TN,USA,"Clarksville,TN,USA"
2021-08-30 22:00:00,Wichita Falls,TX,USA,"Wichita Falls,TX,USA"
2021-08-30 16:59:00,Boise,ID,USA,"Boise,ID,USA"
2021-08-30 12:39:00,Watsonville,CA,USA,"Watsonville,CA,USA"
2021-08-30 11:04:00,Roswell,NM,USA,"Roswell,NM,USA"
2021-08-30 04:45:00,Sandpoint,ID,USA,"Sandpoint,ID,USA"
2021-08-30 04:45:00,Ruskin,FL,USA,"Ruskin,FL,USA"
2021-08-30 01:15:00,Clarksville,TN,USA,"Clarksville,TN,USA"
2021-08-29 23:30:00,Essex (UK/England),,United Kingdom,"Essex (UK/England),United Kingdom"
2021-08-29 22:00:00,Surrey (Canada),BC,Canada,"Surrey (Canada),BC,Canada"
2021-08-29 22:00:00,Atlantic Beach,NC,USA,"Atlantic Beach,NC,USA"
2021-08-29 21:00:00,Durham,NC,USA,"Durham,NC,USA"
2021-08-29 14:10:00,Youngstown,OH,USA,"Youngstown,OH,USA"
2021-08-29 12:30:00,Des Moines,WA,USA,"Des Moines,WA,USA"
2021-08-29 05:39:00,Shoreline,WA,USA,"Shoreline,WA,USA"
2021-08-29 03:35:00,Columbus,OH,USA,"Columbus,OH,USA"
2021-08-29 02:30:00,Lubbock,TX,USA,"Lubbock,TX,USA"
2021-08-29 01:25:00,Albany,OR,USA,"Albany,OR,USA"
2021-08-28 23:11:00,Pine City,NY,USA,"Pine City,NY,USA"
2021-08-28 22:30:00,Manorville,NY,USA,"Manorville,NY,USA"
2021-08-28 21:12:00,Alton (Hampshire)(UK/England),,United Kingdom,"Alton (Hampshire)(UK/England),United Kingdom"
2021-08-28 20:30:00,Chattanooga,TN,USA,"Chattanooga,TN,USA"
2021-08-28 20:00:00,Norris City,IL,USA,"Norris City,IL,USA"
2021-08-28 19:00:00,Arlington,MA,USA,"Arlington,MA,USA"
2021-08-28 17:47:00,Rome,GA,USA,"Rome,GA,USA"
2021-08-28 17:45:00,Issaquah,WA,USA,"Issaquah,WA,USA"
2021-08-28 15:28:00,Berryville,AR,USA,"Berryville,AR,USA"
2021-08-28 05:06:00,Jonesboro,AR,USA,"Jonesboro,AR,USA"
2021-08-27 16:58:00,Boise,ID,USA,"Boise,ID,USA"
2021-08-27 05:24:00,Jonesboro,AR,USA,"Jonesboro,AR,USA"
2021-08-27 03:00:00,Mississuga (Canada),ON,Canada,"Mississuga (Canada),ON,Canada"
2021-08-27 00:00:00,Bothell,WA,USA,"Bothell,WA,USA"
2021-08-26 00:00:00,Portsmouth,OH,USA,"Portsmouth,OH,USA"
2021-08-26 22:25:00,Milton,ON,Canada,"Milton,ON,Canada"
2021-08-26 22:00:00,Littleton,MA,USA,"Littleton,MA,USA"
2021-08-26 21:45:00,Duck,OH,USA,"Duck,OH,USA"
2021-08-26 20:45:00,Star Valley,AZ,USA,"Star Valley,AZ,USA"
2021-08-26 15:35:00,Oakland,CA,USA,"Oakland,CA,USA"
2021-08-26 15:30:00,Land O Lakes,FL,USA,"Land O Lakes,FL,USA"
2021-08-26 12:00:00,,CO,USA,"CO,USA"
2021-08-26 11:39:00,Cambridge,OH,USA,"Cambridge,OH,USA"
2021-08-26 07:57:00,Royal Palm Beach,FL,USA,"Royal Palm Beach,FL,USA"
2021-08-26 01:00:00,Granville,MA,USA,"Granville,MA,USA"
2021-08-25 22:06:00,Sandbridge/Virginia Beach,VA,USA,"Sandbridge/Virginia Beach,VA,USA"
2021-08-25 21:05:00,Tigard,OR,USA,"Tigard,OR,USA"
2021-08-25 20:48:00,Los Angeles,CA,USA,"Los Angeles,CA,USA"
2021-08-25 20:24:00,Old Bridge,NJ,USA,"Old Bridge,NJ,USA"
2021-08-25 20:00:00,Dayton,OH,USA,"Dayton,OH,USA"
2021-08-25 20:00:00,Dayton,OH,USA,"Dayton,OH,USA"
2021-08-25 13:41:00,Goshen,KY,USA,"Goshen,KY,USA"
2021-08-25 05:16:00,Salt Lake City,UT,USA,"Salt Lake City,UT,USA"
2021-08-25 04:49:00,Boise,ID,USA,"Boise,ID,USA"
2021-08-25 02:35:00,Tonopah,AZ,USA,"Tonopah,AZ,USA"
2021-08-25 00:41:00,Lords Valley,PA,USA,"Lords Valley,PA,USA"
2021-08-24 23:45:00,Hoffman Estates,IL,USA,"Hoffman Estates,IL,USA"
2021-08-24 22:20:00,Fayetteville,NC,USA,"Fayetteville,NC,USA"
2021-08-24 21:20:00,Melcroft,PA,USA,"Melcroft,PA,USA"
2021-08-24 11:53:00,St. Louis,MO,USA,"St. Louis,MO,USA"
2021-08-24 08:38:00,Grand Junction,CO,USA,"Grand Junction,CO,USA"
2021-08-23 00:00:00,St.clair,MO,USA,"St.clair,MO,USA"
2021-08-23 22:00:00,Seattle,WA,USA,"Seattle,WA,USA"
2021-08-23 22:00:00,Boonton,NJ,USA,"Boonton,NJ,USA"
2021-08-23 20:56:00,Glen Mills,PA,USA,"Glen Mills,PA,USA"
2021-08-23 20:49:00,New York City (Bronx),NY,USA,"New York City (Bronx),NY,USA"
2021-08-23 18:49:00,Mansfield Township,NJ,USA,"Mansfield Township,NJ,USA"
2021-08-23 02:00:00,Tooele,UT,USA,"Tooele,UT,USA"
2021-08-23 00:00:00,Ft. Worth,TX,USA,"Ft. Worth,TX,USA"
2021-08-22 23:15:00,Alameda,CA,USA,"Alameda,CA,USA"
2021-08-22 22:39:00,Dallas,GA,USA,"Dallas,GA,USA"
2021-08-22 22:30:00,Osgood,IN,USA,"Osgood,IN,USA"
2021-08-22 21:55:00,Chelmsford,Essex,United Kingdom,"Chelmsford,Essex,United Kingdom"
2021-08-22 19:42:00,Laramie,WY,USA,"Laramie,WY,USA"
2021-08-22 15:45:00,Greensboro,NC,USA,"Greensboro,NC,USA"
2021-08-22 08:46:00,Show Low,AZ,USA,"Show Low,AZ,USA"
